tGroup,round,epoch,target,outcome,probX,probY,probZ
1-2,3,454,0,0,0.48,0.25,0.36
1-2,3,455,2,2,0.10,0.16,0.89
1-2,3,456,2,2,0.14,0.14,0.83
1-2,3,457,2,2,0.14,0.13,0.83
1-2,3,458,2,2,0.13,0.13,0.84
1-2,3,459,1,1,0.13,0.53,0.35
1-2,3,460,1,1,0.17,0.67,0.23
1-2,3,461,2,2,0.16,0.11,0.84
1-2,3,462,1,1,0.16,0.70,0.22
1-2,3,463,1,1,0.12,0.62,0.29
1-2,3,464,2,2,0.12,0.19,0.80
1-2,3,465,2,2,0.12,0.18,0.81
1-2,3,466,2,2,0.08,0.20,0.88
1-2,3,467,2,2,0.11,0.17,0.82
1-2,3,468,2,2,0.09,0.20,0.88
1-2,3,469,2,2,0.14,0.10,0.85
1-2,3,470,2,2,0.13,0.10,0.86
1-2,3,471,0,0,0.41,0.34,0.23
1-2,3,472,2,2,0.15,0.09,0.86
1-2,3,473,2,2,0.13,0.30,0.58
1-2,3,474,2,2,0.08,0.14,0.91
1-2,3,475,1,1,0.16,0.64,0.26
1-2,3,476,1,1,0.15,0.68,0.24
1-2,3,477,1,1,0.12,0.60,0.31
1-2,3,478,2,2,0.08,0.19,0.89
1-2,3,479,2,2,0.11,0.16,0.83
1-2,3,480,2,2,0.09,0.19,0.88
1-2,3,481,2,2,0.07,0.17,0.90
1-2,3,482,1,1,0.14,0.70,0.22
1-2,3,483,2,2,0.11,0.16,0.83
1-2,3,484,1,1,0.11,0.62,0.30
1-2,3,485,2,2,0.07,0.19,0.89
1-2,3,486,2,2,0.08,0.20,0.88
1-2,3,487,2,2,0.08,0.19,0.88
1-2,3,488,2,2,0.10,0.15,0.83
1-2,3,489,1,1,0.13,0.72,0.21
1-2,3,490,1,1,0.13,0.74,0.20
1-2,3,491,2,2,0.10,0.36,0.55
1-2,3,492,0,0,0.43,0.28,0.33
1-2,3,493,0,0,0.50,0.26,0.30
1-2,3,494,2,2,0.13,0.13,0.82
1-2,3,495,2,2,0.09,0.14,0.89
1-2,3,496,2,2,0.09,0.14,0.89
1-2,3,497,2,2,0.10,0.15,0.88
1-2,3,498,2,2,0.16,0.08,0.86
1-2,3,499,2,2,0.12,0.12,0.84
1-2,3,500,2,2,0.08,0.13,0.90
1-2,3,501,0,0,0.48,0.28,0.22
1-2,3,502,2,2,0.14,0.11,0.84
1-2,3,503,2,2,0.09,0.12,0.90
1-2,3,504,2,2,0.10,0.13,0.89
1-2,3,505,0,0,0.52,0.25,0.22
1-2,3,506,1,1,0.21,0.62,0.21
1-2,3,507,2,2,0.15,0.11,0.84
1-2,3,508,2,2,0.10,0.12,0.90
1-2,3,509,0,0,0.59,0.20,0.30
1-2,3,510,2,2,0.16,0.10,0.83
1-2,3,511,1,1,0.17,0.52,0.28
1-2,3,512,1,1,0.21,0.68,0.17
1-2,3,513,1,1,0.15,0.59,0.25
1-2,3,514,2,2,0.15,0.32,0.51
1-2,3,515,2,2,0.14,0.13,0.83
1-2,3,516,1,1,0.14,0.60,0.27
1-2,3,517,2,2,0.09,0.16,0.89
1-2,3,518,2,2,0.09,0.15,0.89
1-2,3,519,2,2,0.13,0.13,0.83
1-2,3,520,2,2,0.09,0.14,0.90
1-2,3,521,2,2,0.13,0.13,0.84
1-2,3,522,2,2,0.12,0.12,0.85
1-2,3,523,1,1,0.13,0.60,0.28
1-2,3,524,1,1,0.13,0.64,0.26
1-2,3,525,2,2,0.12,0.15,0.83
1-2,3,526,2,2,0.12,0.33,0.56
1-2,3,527,1,1,0.12,0.63,0.28
1-2,3,528,1,1,0.16,0.75,0.18
1-2,3,529,2,2,0.08,0.19,0.88
1-2,3,530,2,2,0.12,0.33,0.58
1-2,3,531,0,0,0.48,0.34,0.21
1-2,3,532,2,2,0.13,0.28,0.62
1-2,3,533,0,0,0.57,0.22,0.34
1-2,3,534,2,2,0.09,0.12,0.91
1-2,3,535,2,2,0.11,0.13,0.90
1-2,3,536,2,2,0.14,0.24,0.64
1-2,3,537,1,1,0.19,0.66,0.23
1-2,3,538,2,2,0.13,0.24,0.66
1-2,3,539,2,2,0.13,0.10,0.88
1-2,3,540,2,2,0.16,0.06,0.90
1-2,3,541,0,0,0.54,0.26,0.25
1-2,3,542,1,1,0.20,0.66,0.23
1-2,3,543,2,2,0.13,0.10,0.87
1-2,3,544,1,1,0.14,0.57,0.31
1-2,3,545,2,2,0.17,0.07,0.88
1-2,3,546,1,1,0.18,0.72,0.20
1-2,3,547,1,1,0.17,0.74,0.19
1-2,3,548,2,2,0.09,0.16,0.90
1-2,3,549,1,1,0.17,0.75,0.18
1-2,3,550,2,2,0.09,0.17,0.90
1-2,3,551,0,0,0.53,0.34,0.19
1-2,3,552,1,1,0.18,0.74,0.17
1-2,3,553,1,1,0.18,0.75,0.16
1-2,3,554,2,2,0.12,0.14,0.84
1-2,3,555,2,2,0.12,0.14,0.84
1-2,3,556,0,0,0.55,0.33,0.18
1-2,3,557,2,2,0.14,0.26,0.61
1-2,3,558,1,1,0.19,0.72,0.18
1-2,3,559,1,1,0.14,0.63,0.26
1-2,3,560,2,2,0.09,0.16,0.89
1-2,3,561,0,0,0.57,0.32,0.18
1-2,3,562,0,0,0.65,0.23,0.27
1-2,3,563,2,2,0.10,0.13,0.90
1-2,3,564,2,2,0.11,0.14,0.89
1-2,3,565,2,2,0.10,0.12,0.90
1-2,3,566,2,2,0.15,0.11,0.84
1-2,3,567,2,2,0.15,0.23,0.62
1-2,3,568,1,1,0.16,0.59,0.27
1-2,3,569,2,2,0.15,0.24,0.64
1-2,3,570,1,1,0.19,0.72,0.18
1-2,3,571,2,2,0.14,0.24,0.66
1-2,3,572,2,2,0.08,0.11,0.93
1-2,3,573,2,2,0.08,0.11,0.93
1-2,3,574,2,2,0.08,0.11,0.93
1-2,3,575,2,2,0.12,0.10,0.88
1-2,3,576,2,2,0.08,0.11,0.93
1-2,3,577,2,2,0.12,0.10,0.88
1-2,3,578,1,1,0.13,0.59,0.31
1-2,3,579,2,2,0.09,0.13,0.91
1-2,3,580,1,1,0.13,0.63,0.28
1-2,3,581,2,2,0.07,0.13,0.92
1-2,3,582,2,2,0.11,0.12,0.86
1-2,3,583,1,1,0.16,0.75,0.18
1-2,3,584,0,0,0.59,0.24,0.29
1-2,3,585,2,2,0.13,0.25,0.64
1-2,3,586,2,2,0.12,0.11,0.87
1-2,3,587,2,2,0.13,0.23,0.69
1-2,3,588,2,2,0.09,0.12,0.92
1-2,3,589,2,2,0.07,0.11,0.93
1-2,3,590,2,2,0.12,0.20,0.72
1-2,3,591,2,2,0.08,0.11,0.93
1-2,3,592,2,2,0.11,0.09,0.90
1-2,3,593,2,2,0.08,0.11,0.93
1-2,3,594,2,2,0.11,0.09,0.90
1-2,3,595,1,1,0.16,0.69,0.22
1-2,3,596,0,0,0.56,0.26,0.23
1-2,3,597,2,2,0.12,0.09,0.89
1-2,3,598,0,0,0.60,0.24,0.22
1-2,3,599,2,2,0.18,0.05,0.90
1-2,3,600,1,1,0.19,0.69,0.19
1-2,3,601,1,1,0.18,0.71,0.18
1-2,3,602,2,2,0.12,0.10,0.88
1-2,3,603,1,1,0.18,0.73,0.18
1-2,3,604,2,2,0.07,0.11,0.93
1-2,3,605,2,2,0.07,0.11,0.93
1-2,3,606,2,2,0.07,0.11,0.93
1-2,3,607,2,2,0.15,0.06,0.90
1-2,3,608,1,1,0.16,0.74,0.17
1-2,3,609,2,2,0.07,0.11,0.93
1-2,3,610,2,2,0.10,0.11,0.88
1-2,3,611,1,1,0.12,0.64,0.27
1-2,3,612,0,0,0.57,0.30,0.18
1-2,3,613,2,2,0.07,0.11,0.92
1-2,3,614,1,1,0.18,0.76,0.15
1-2,3,615,2,2,0.07,0.12,0.92
1-2,3,616,1,1,0.17,0.77,0.15
1-2,3,617,1,1,0.16,0.78,0.14
1-2,3,618,1,1,0.12,0.69,0.22
1-2,3,619,2,2,0.10,0.14,0.85
1-2,3,620,2,2,0.14,0.07,0.88
1-2,3,621,2,2,0.10,0.13,0.85
1-2,3,622,2,2,0.07,0.15,0.91
1-2,3,623,2,2,0.11,0.26,0.66
1-2,3,624,2,2,0.07,0.13,0.92
1-2,3,625,2,2,0.09,0.11,0.88
1-2,3,626,1,1,0.15,0.77,0.16
1-2,3,627,2,2,0.06,0.12,0.93
1-2,3,628,2,2,0.13,0.06,0.90
1-2,3,629,2,2,0.06,0.12,0.93
1-2,3,630,1,1,0.11,0.67,0.25
1-2,3,631,2,2,0.06,0.13,0.92
1-2,3,632,0,0,0.57,0.25,0.27
1-2,3,633,2,2,0.11,0.24,0.67
1-2,3,634,2,2,0.06,0.11,0.93
1-2,3,635,2,2,0.10,0.10,0.88
1-2,3,636,2,2,0.06,0.11,0.93
1-2,3,637,2,2,0.06,0.10,0.93
1-2,3,638,2,2,0.13,0.05,0.90
1-2,3,639,2,2,0.13,0.05,0.90
1-2,3,640,2,2,0.07,0.12,0.92
1-2,3,641,2,2,0.06,0.10,0.93
1-2,3,642,2,2,0.06,0.10,0.93
1-2,3,643,2,2,0.07,0.11,0.93
1-2,3,644,1,1,0.14,0.75,0.17
1-2,3,645,0,0,0.59,0.21,0.29
1-2,3,646,2,2,0.10,0.10,0.87
1-2,3,647,2,2,0.10,0.09,0.88
1-2,3,648,2,2,0.11,0.20,0.70
1-2,3,649,1,1,0.12,0.62,0.27
1-2,3,650,1,1,0.15,0.77,0.15
1-2,3,651,0,0,0.58,0.29,0.17
1-2,3,652,1,1,0.13,0.66,0.23
1-2,3,653,2,2,0.11,0.22,0.68
1-2,3,654,2,2,0.10,0.10,0.88
1-2,3,655,2,2,0.10,0.10,0.88
1-2,3,656,1,1,0.16,0.77,0.15
1-2,3,657,2,2,0.14,0.05,0.90
1-2,3,658,2,2,0.11,0.21,0.71
1-2,3,659,2,2,0.10,0.20,0.74
1-2,3,660,2,2,0.06,0.10,0.94
1-2,3,661,1,1,0.11,0.65,0.28
1-2,3,662,2,2,0.09,0.10,0.89
1-2,3,663,2,2,0.06,0.10,0.94
1-2,3,664,2,2,0.06,0.10,0.94
1-2,3,665,1,1,0.11,0.67,0.26
1-2,3,666,1,1,0.14,0.80,0.15
1-2,3,667,2,2,0.10,0.22,0.72
1-2,3,668,2,2,0.06,0.11,0.94
1-2,3,669,0,0,0.57,0.29,0.19
1-2,3,670,2,2,0.14,0.05,0.91
1-2,3,671,2,2,0.07,0.11,0.93
1-2,3,672,1,1,0.15,0.78,0.16
1-2,3,673,2,2,0.06,0.10,0.94
1-2,3,674,2,2,0.07,0.11,0.93
1-2,3,675,1,1,0.11,0.68,0.24
1-2,3,676,0,0,0.59,0.29,0.17
1-2,3,677,2,2,0.06,0.10,0.93
1-2,3,678,2,2,0.07,0.11,0.92
1-2,3,679,2,2,0.10,0.10,0.88
1-2,3,680,2,2,0.07,0.11,0.93
1-2,3,681,1,1,0.12,0.67,0.23
1-2,3,682,2,2,0.14,0.05,0.90
1-2,3,683,1,1,0.16,0.80,0.14
1-2,3,684,0,0,0.61,0.29,0.16
1-2,3,685,2,2,0.10,0.10,0.87
1-2,3,686,2,2,0.10,0.10,0.88
1-2,3,687,0,0,0.66,0.20,0.26
1-2,3,688,0,0,0.69,0.19,0.24
1-2,3,689,2,2,0.13,0.18,0.68
1-2,3,690,2,2,0.07,0.09,0.93
1-2,3,691,2,2,0.13,0.17,0.71
1-2,3,692,0,0,0.68,0.23,0.17
1-2,3,693,0,0,0.71,0.21,0.17
1-2,3,694,2,2,0.10,0.09,0.92
1-2,3,695,2,2,0.13,0.07,0.88
1-2,3,696,1,1,0.16,0.62,0.22
1-2,3,697,0,0,0.74,0.17,0.24
1-2,3,698,2,2,0.14,0.08,0.87
1-2,3,699,1,1,0.16,0.65,0.20
1-2,4,0,2,2,0.41,0.53,0.55
1-2,4,1,1,2,0.40,0.50,0.57
1-2,4,2,0,2,0.35,0.51,0.53
1-2,4,3,0,1,0.35,0.52,0.50
1-2,4,4,1,2,0.46,0.46,0.46
1-2,4,5,2,1,0.43,0.59,0.51
1-2,4,6,2,1,0.40,0.55,0.55
1-2,4,7,2,2,0.37,0.51,0.58
1-2,4,8,2,2,0.36,0.47,0.61
1-2,4,9,1,2,0.33,0.36,0.54
1-2,4,10,2,2,0.36,0.41,0.60
1-2,4,11,2,2,0.34,0.38,0.63
1-2,4,12,2,2,0.28,0.42,0.65
1-2,4,13,2,2,0.27,0.39,0.67
1-2,4,14,2,2,0.24,0.30,0.60
1-2,4,15,2,2,0.21,0.29,0.70
1-2,4,16,0,2,0.22,0.24,0.64
1-2,4,17,1,2,0.27,0.26,0.60
1-2,4,18,2,2,0.25,0.36,0.66
1-2,4,19,2,2,0.25,0.33,0.68
1-2,4,20,2,2,0.22,0.26,0.60
1-2,4,21,1,2,0.23,0.25,0.62
1-2,4,22,1,2,0.22,0.28,0.58
1-2,4,23,1,2,0.24,0.29,0.60
1-2,4,24,1,2,0.20,0.36,0.51
1-2,4,25,2,2,0.17,0.39,0.56
1-2,4,26,2,2,0.19,0.44,0.61
1-2,4,27,1,2,0.21,0.32,0.58
1-2,4,28,2,2,0.17,0.37,0.50
1-2,4,29,2,2,0.16,0.35,0.53
1-2,4,30,1,2,0.17,0.34,0.55
1-2,4,31,1,2,0.17,0.38,0.52
1-2,4,32,1,2,0.18,0.39,0.53
1-2,4,33,0,2,0.15,0.41,0.44
1-2,4,34,2,2,0.17,0.42,0.43
1-2,4,35,1,2,0.17,0.40,0.45
1-2,4,36,2,2,0.17,0.50,0.53
1-2,4,37,2,2,0.15,0.39,0.47
1-2,4,38,2,2,0.16,0.44,0.60
1-2,4,39,2,2,0.15,0.34,0.53
1-2,4,40,2,2,0.19,0.33,0.65
1-2,4,41,2,2,0.15,0.37,0.68
1-2,4,42,2,2,0.13,0.28,0.68
1-2,4,43,2,2,0.14,0.33,0.72
1-2,4,44,1,2,0.15,0.27,0.62
1-2,4,45,1,2,0.14,0.30,0.58
1-2,4,46,2,2,0.14,0.38,0.66
1-2,4,47,2,2,0.12,0.29,0.67
1-2,4,48,1,2,0.15,0.27,0.64
1-2,4,49,1,2,0.13,0.34,0.54
1-2,4,50,2,2,0.12,0.36,0.53
1-2,4,51,2,2,0.13,0.40,0.66
1-2,4,52,1,2,0.14,0.30,0.62
1-2,4,53,2,2,0.12,0.41,0.65
1-2,4,54,1,2,0.12,0.35,0.54
1-2,4,55,2,2,0.15,0.37,0.62
1-2,4,56,2,2,0.12,0.40,0.66
1-2,4,57,2,2,0.11,0.37,0.68
1-2,4,58,0,2,0.11,0.26,0.58
1-2,4,59,2,2,0.13,0.33,0.66
1-2,4,60,2,2,0.11,0.25,0.66
1-2,4,61,2,2,0.15,0.26,0.69
1-2,4,62,2,2,0.10,0.23,0.70
1-2,4,63,1,2,0.12,0.26,0.61
1-2,4,64,1,2,0.12,0.29,0.57
1-2,4,65,1,2,0.12,0.32,0.53
1-2,4,66,0,2,0.10,0.36,0.51
1-2,4,67,2,2,0.13,0.35,0.60
1-2,4,68,1,2,0.14,0.28,0.55
1-2,4,69,2,2,0.10,0.31,0.57
1-2,4,70,0,2,0.11,0.28,0.49
1-2,4,71,1,2,0.13,0.32,0.45
1-2,4,72,2,2,0.13,0.38,0.56
1-2,4,73,2,2,0.13,0.35,0.59
1-2,4,74,1,2,0.13,0.32,0.47
1-2,4,75,0,2,0.12,0.29,0.45
1-2,4,76,2,2,0.13,0.35,0.56
1-2,4,77,2,2,0.14,0.32,0.59
1-2,4,78,1,2,0.13,0.31,0.47
1-2,4,79,2,2,0.12,0.31,0.46
1-2,4,80,2,2,0.13,0.33,0.63
1-2,4,81,0,2,0.12,0.24,0.50
1-2,4,82,2,2,0.14,0.30,0.62
1-2,4,83,1,2,0.16,0.24,0.55
1-2,4,84,2,2,0.13,0.31,0.61
1-2,4,85,1,2,0.13,0.30,0.47
1-2,4,86,1,2,0.13,0.33,0.44
1-2,4,87,1,2,0.13,0.37,0.41
1-2,4,88,1,1,0.13,0.41,0.39
1-2,4,89,2,2,0.13,0.44,0.52
1-2,4,90,2,2,0.15,0.37,0.54
1-2,4,91,2,2,0.12,0.38,0.59
1-2,4,92,0,2,0.10,0.36,0.47
1-2,4,93,2,2,0.16,0.30,0.57
1-2,4,94,0,2,0.11,0.32,0.46
1-2,4,95,1,2,0.14,0.32,0.42
1-2,4,96,1,2,0.13,0.36,0.39
1-2,4,97,2,2,0.13,0.38,0.55
1-2,4,98,0,2,0.13,0.28,0.40
1-2,4,99,2,2,0.14,0.32,0.40
1-2,4,100,2,2,0.14,0.32,0.59
1-2,4,101,2,2,0.14,0.30,0.62
1-2,4,102,2,2,0.17,0.25,0.62
1-2,4,103,2,2,0.13,0.27,0.51
1-2,4,104,0,2,0.13,0.21,0.53
1-2,4,105,2,2,0.14,0.25,0.51
1-2,4,106,2,2,0.13,0.20,0.66
1-2,4,107,0,2,0.15,0.19,0.54
1-2,4,108,2,2,0.17,0.23,0.68
1-2,4,109,0,2,0.16,0.17,0.52
1-2,4,110,2,2,0.18,0.21,0.66
1-2,4,111,2,2,0.16,0.17,0.65
1-2,4,112,1,2,0.19,0.18,0.60
1-2,4,113,2,2,0.15,0.18,0.63
1-2,4,114,0,2,0.17,0.17,0.51
1-2,4,115,2,2,0.22,0.19,0.63
1-2,4,116,2,2,0.18,0.21,0.68
1-2,4,117,1,2,0.17,0.23,0.51
1-2,4,118,2,2,0.17,0.22,0.67
1-2,4,119,2,2,0.15,0.18,0.66
1-2,4,120,1,2,0.16,0.25,0.52
1-2,4,121,2,2,0.19,0.21,0.66
1-2,4,122,1,2,0.17,0.21,0.59
1-2,4,123,2,2,0.14,0.26,0.68
1-2,4,124,0,2,0.15,0.20,0.49
1-2,4,125,0,2,0.17,0.19,0.45
1-2,4,126,1,2,0.18,0.27,0.42
1-2,4,127,0,2,0.19,0.21,0.39
1-2,4,128,2,2,0.19,0.26,0.40
1-2,4,129,2,2,0.18,0.20,0.56
1-2,4,130,1,2,0.18,0.28,0.44
1-2,4,131,2,2,0.17,0.22,0.57
1-2,4,132,2,2,0.18,0.26,0.65
1-2,4,133,1,2,0.17,0.29,0.46
1-2,4,134,0,2,0.18,0.22,0.43
1-2,4,135,2,2,0.20,0.27,0.61
1-2,4,136,2,2,0.19,0.25,0.64
1-2,4,137,1,2,0.18,0.29,0.45
1-2,4,138,1,2,0.17,0.32,0.42
1-2,4,139,0,2,0.16,0.33,0.41
1-2,4,140,1,2,0.22,0.26,0.44
1-2,4,141,2,2,0.19,0.32,0.55
1-2,4,142,1,2,0.20,0.28,0.44
1-2,4,143,2,2,0.16,0.29,0.50
1-2,4,144,2,2,0.17,0.33,0.61
1-2,4,145,1,2,0.16,0.36,0.40
1-2,4,146,1,1,0.16,0.40,0.38
1-2,4,147,2,2,0.15,0.38,0.59
1-2,4,148,2,2,0.15,0.37,0.42
1-2,4,149,1,2,0.17,0.31,0.49
1-2,4,150,1,1,0.15,0.43,0.39
1-2,4,151,2,2,0.14,0.41,0.60
1-2,4,152,0,2,0.16,0.32,0.39
1-2,4,153,2,2,0.20,0.33,0.55
1-2,4,154,1,2,0.18,0.32,0.46
1-2,4,155,2,2,0.14,0.32,0.54
1-2,4,156,2,2,0.15,0.36,0.64
1-2,4,157,2,2,0.14,0.34,0.66
1-2,4,158,1,2,0.14,0.39,0.43
1-2,4,159,2,2,0.14,0.35,0.66
1-2,4,160,1,2,0.14,0.40,0.43
1-2,4,161,2,2,0.14,0.36,0.65
1-2,4,162,2,2,0.17,0.31,0.63
1-2,4,163,2,2,0.13,0.32,0.71
1-2,4,164,0,2,0.12,0.34,0.48
1-2,4,165,2,2,0.14,0.28,0.69
1-2,4,166,0,2,0.16,0.23,0.46
1-2,4,167,0,2,0.18,0.22,0.42
1-2,4,168,0,2,0.20,0.21,0.39
1-2,4,169,2,2,0.20,0.24,0.63
1-2,4,170,2,2,0.19,0.26,0.43
1-2,4,171,2,2,0.18,0.18,0.63
1-2,4,172,2,2,0.23,0.20,0.66
1-2,4,173,2,2,0.17,0.17,0.68
1-2,4,174,2,2,0.17,0.20,0.75
1-2,4,175,2,2,0.17,0.23,0.55
1-2,4,176,2,2,0.21,0.18,0.74
1-2,4,177,2,2,0.20,0.17,0.75
1-2,4,178,0,2,0.15,0.22,0.58
1-2,4,179,2,2,0.17,0.20,0.57
1-2,4,180,2,2,0.18,0.17,0.79
1-2,4,181,1,2,0.19,0.16,0.65
1-2,4,182,1,2,0.18,0.19,0.61
1-2,4,183,2,2,0.15,0.24,0.53
1-2,4,184,2,2,0.15,0.23,0.56
1-2,4,185,1,2,0.15,0.27,0.54
1-2,4,186,1,2,0.15,0.30,0.50
1-2,4,187,2,2,0.14,0.25,0.74
1-2,4,188,2,2,0.14,0.27,0.54
1-2,4,189,2,2,0.14,0.26,0.57
1-2,4,190,1,2,0.14,0.30,0.54
1-2,4,191,2,2,0.13,0.25,0.77
1-2,4,192,2,2,0.13,0.27,0.58
1-2,4,193,2,2,0.13,0.23,0.80
1-2,4,194,1,2,0.13,0.31,0.55
1-2,4,195,1,2,0.13,0.34,0.51
1-2,4,196,1,2,0.12,0.38,0.48
1-2,4,197,1,2,0.12,0.41,0.45
1-2,4,198,2,2,0.12,0.38,0.48
1-2,4,199,2,2,0.12,0.32,0.74
1-2,4,200,1,2,0.13,0.31,0.56
1-2,4,201,2,2,0.11,0.38,0.49
1-2,4,202,1,2,0.11,0.43,0.46
1-2,4,203,1,1,0.11,0.46,0.43
1-2,4,204,1,2,0.13,0.39,0.50
1-2,4,205,2,2,0.11,0.42,0.67
1-2,4,206,2,2,0.14,0.37,0.62
1-2,4,207,2,2,0.11,0.41,0.48
1-2,4,208,0,2,0.10,0.40,0.48
1-2,4,209,1,1,0.12,0.43,0.42
1-2,4,210,2,2,0.11,0.40,0.46
1-2,4,211,2,2,0.12,0.32,0.71
1-2,4,212,2,2,0.14,0.29,0.68
1-2,4,213,2,2,0.14,0.27,0.70
1-2,4,214,2,2,0.14,0.26,0.72
1-2,4,215,1,2,0.11,0.39,0.49
1-2,4,216,2,2,0.10,0.25,0.71
1-2,4,217,2,2,0.10,0.24,0.72
1-2,4,218,2,2,0.10,0.27,0.79
1-2,4,219,1,2,0.10,0.39,0.50
1-2,4,220,2,2,0.13,0.27,0.72
1-2,4,221,2,2,0.10,0.27,0.78
1-2,4,222,2,2,0.10,0.32,0.58
1-2,4,223,2,2,0.09,0.25,0.82
1-2,4,224,2,2,0.09,0.24,0.82
1-2,4,225,2,2,0.10,0.28,0.62
1-2,4,226,1,2,0.11,0.24,0.67
1-2,4,227,1,2,0.10,0.38,0.52
1-2,4,228,2,2,0.09,0.28,0.79
1-2,4,229,2,2,0.09,0.32,0.58
1-2,4,230,2,2,0.09,0.25,0.82
1-2,4,231,2,2,0.12,0.22,0.77
1-2,4,232,2,2,0.09,0.28,0.63
1-2,4,233,2,2,0.09,0.22,0.85
1-2,4,234,2,2,0.09,0.21,0.85
1-2,4,235,1,2,0.10,0.23,0.69
1-2,4,236,1,2,0.10,0.26,0.64
1-2,4,237,2,2,0.09,0.26,0.79
1-2,4,238,2,2,0.08,0.25,0.81
1-2,4,239,2,2,0.09,0.23,0.81
1-2,4,240,2,2,0.11,0.22,0.77
1-2,4,241,0,2,0.10,0.21,0.56
1-2,4,242,2,2,0.09,0.27,0.58
1-2,4,243,2,2,0.09,0.26,0.61
1-2,4,244,2,2,0.09,0.25,0.64
1-2,4,245,2,2,0.09,0.24,0.66
1-2,4,246,2,2,0.09,0.17,0.86
1-2,4,247,2,2,0.12,0.17,0.82
1-2,4,248,2,2,0.08,0.14,0.84
1-2,4,249,1,2,0.09,0.29,0.61
1-2,4,250,2,2,0.08,0.16,0.82
1-2,4,251,2,2,0.08,0.18,0.86
1-2,4,252,2,2,0.08,0.18,0.86
1-2,4,253,1,2,0.09,0.30,0.59
1-2,4,254,1,2,0.09,0.34,0.55
1-2,4,255,2,2,0.08,0.22,0.82
1-2,4,256,1,2,0.08,0.37,0.52
1-2,4,257,0,2,0.10,0.24,0.52
1-2,4,258,1,2,0.09,0.39,0.45
1-2,4,259,0,2,0.11,0.26,0.44
1-2,4,260,1,1,0.10,0.41,0.39
1-2,4,261,2,2,0.10,0.35,0.46
1-2,4,262,2,2,0.09,0.22,0.68
1-2,4,263,2,2,0.12,0.24,0.69
1-2,4,264,1,2,0.11,0.29,0.55
1-2,4,265,0,2,0.11,0.27,0.42
1-2,4,266,0,2,0.10,0.35,0.41
1-2,4,267,2,2,0.11,0.20,0.63
1-2,4,268,1,1,0.11,0.40,0.37
1-2,4,269,0,2,0.11,0.35,0.38
1-2,4,270,2,2,0.11,0.21,0.61
1-2,4,271,0,2,0.12,0.32,0.38
1-2,4,272,2,2,0.12,0.22,0.69
1-2,4,273,2,2,0.12,0.22,0.71
1-2,4,274,0,2,0.15,0.20,0.38
1-2,4,275,2,2,0.14,0.27,0.43
1-2,4,276,1,2,0.16,0.23,0.48
1-2,4,277,0,2,0.14,0.30,0.37
1-2,4,278,1,1,0.15,0.37,0.32
1-2,4,279,2,2,0.14,0.23,0.67
1-2,4,280,2,2,0.18,0.22,0.60
1-2,4,281,0,2,0.18,0.21,0.36
1-2,4,282,0,2,0.20,0.20,0.34
1-2,4,283,0,2,0.18,0.28,0.33
1-2,4,284,2,2,0.20,0.15,0.57
1-2,4,285,2,2,0.25,0.18,0.60
1-2,4,286,2,2,0.19,0.15,0.64
1-2,4,287,0,2,0.19,0.25,0.39
1-2,4,288,2,2,0.20,0.17,0.72
1-2,4,289,2,2,0.21,0.16,0.72
1-2,4,290,2,2,0.18,0.16,0.75
1-2,4,291,1,2,0.21,0.20,0.49
1-2,4,292,1,2,0.20,0.23,0.45
1-2,4,293,0,2,0.22,0.20,0.33
1-2,4,294,0,2,0.21,0.27,0.33
1-2,4,295,2,2,0.28,0.18,0.57
1-2,4,296,2,2,0.22,0.18,0.68
1-2,4,297,2,2,0.20,0.24,0.43
1-2,4,298,2,2,0.20,0.23,0.47
1-2,4,299,1,2,0.22,0.21,0.50
1-2,4,300,2,2,0.19,0.25,0.47
1-2,4,301,2,2,0.23,0.17,0.70
1-2,4,302,1,2,0.17,0.33,0.41
1-2,4,303,1,2,0.17,0.37,0.38
1-2,4,304,1,1,0.17,0.41,0.36
1-2,4,305,2,2,0.16,0.33,0.46
1-2,4,306,0,2,0.17,0.32,0.41
1-2,4,307,2,2,0.18,0.30,0.47
1-2,4,308,2,2,0.17,0.28,0.51
1-2,4,309,2,2,0.21,0.19,0.73
1-2,4,310,2,2,0.15,0.19,0.81
1-2,4,311,2,2,0.15,0.19,0.82
1-2,4,312,2,2,0.15,0.18,0.82
1-2,4,313,1,2,0.16,0.35,0.45
1-2,4,314,0,2,0.20,0.20,0.45
1-2,4,315,2,2,0.22,0.19,0.71
1-2,4,316,0,2,0.18,0.27,0.45
1-2,4,317,0,2,0.20,0.25,0.41
1-2,4,318,1,2,0.23,0.23,0.46
1-2,4,319,0,2,0.22,0.27,0.35
1-2,4,320,2,2,0.21,0.18,0.71
1-2,4,321,0,2,0.30,0.18,0.33
1-2,4,322,1,1,0.25,0.35,0.30
1-2,4,323,1,1,0.24,0.38,0.29
1-2,4,324,1,2,0.26,0.29,0.36
1-2,4,325,1,2,0.25,0.33,0.34
1-2,4,326,2,1,0.21,0.38,0.35
1-2,4,327,2,2,0.19,0.27,0.68
1-2,4,328,2,2,0.20,0.34,0.41
1-2,4,329,2,2,0.18,0.24,0.74
1-2,4,330,1,1,0.19,0.43,0.33
1-2,4,331,2,2,0.19,0.34,0.45
1-2,4,332,0,2,0.25,0.25,0.36
1-2,4,333,2,2,0.21,0.18,0.66
1-2,4,334,1,1,0.20,0.43,0.34
1-2,4,335,0,2,0.27,0.26,0.34
